iter	Passed	Remaining
0	75	22516
1	175	26143
2	273	27070
3	407	30184
4	585	34572
5	724	35488
6	803	33648
7	900	32860
8	982	31754
9	1055	30614
10	1137	29885
11	1205	28936
12	1266	27965
13	1327	27113
14	1401	26629
15	1467	26053
16	1528	25450
17	1597	25019
18	1672	24735
19	1738	24337
20	1800	23921
21	1877	23718
22	1933	23280
23	2013	23152
24	2078	22858
25	2131	22466
26	2197	22216
27	2264	21993
28	2340	21876
29	2405	21651
30	2476	21491
31	2538	21262
32	2607	21098
33	2687	21025
34	2769	20965
35	2854	20935
36	2918	20747
37	2979	20544
38	3045	20382
39	3107	20198
40	3165	19993
41	3224	19806
42	3305	19758
43	3363	19569
44	3422	19394
45	3483	19235
46	3540	19056
47	3603	18919
48	3665	18775
49	3755	18776
50	3817	18640
51	3881	18511
52	3942	18373
53	3998	18213
54	4061	18091
55	4123	17968
56	4201	17912
57	4253	17745
58	4306	17592
59	4364	17456
60	4425	17339
61	4482	17205
62	4548	17109
63	4630	17074
64	4706	17016
65	4766	16899
66	4827	16786
67	4887	16674
68	4947	16564
69	5023	16505
70	5100	16451
71	5162	16348
72	5225	16249
73	5290	16157
74	5349	16049
75	5405	15931
76	5468	15838
77	5544	15779
78	5604	15677
79	5665	15580
80	5733	15502
81	5790	15395
82	5844	15280
83	5899	15169
84	5973	15108
85	6041	15032
86	6111	14962
87	6170	14864
88	6221	14750
89	6273	14638
90	6330	14538
91	6405	14481
92	6467	14396
93	6527	14305
94	6586	14211
95	6682	14200
96	6754	14135
97	6820	14058
98	6893	13995
99	6952	13905
100	7013	13819
101	7066	13717
102	7134	13644
103	7196	13561
104	7253	13470
105	7324	13404
106	7379	13310
107	7433	13215
108	7498	13140
109	7560	13059
110	7615	12967
111	7678	12888
112	7752	12828
113	7814	12750
114	7876	12670
115	7937	12590
116	7995	12505
117	8056	12426
118	8117	12346
119	8196	12294
120	8252	12208
121	8323	12144
122	8386	12068
123	8428	11963
124	8480	11873
125	8537	11789
126	8626	11751
127	8700	11691
128	8759	11610
129	8815	11527
130	8867	11439
131	8930	11366
132	8989	11287
133	9056	11218
134	9115	11141
135	9181	11071
136	9239	10993
137	9303	10921
138	9359	10841
139	9433	10781
140	9513	10727
141	9571	10649
142	9640	10583
143	9717	10526
144	9779	10454
145	9834	10372
146	9890	10294
147	9960	10229
148	10026	10160
149	10090	10090
150	10145	10011
151	10211	9942
152	10278	9875
153	10333	9796
154	10445	9771
155	10530	9720
156	10647	9698
157	10743	9655
158	10806	9582
159	10853	9496
160	10909	9418
161	10985	9358
162	11039	9278
163	11093	9199
164	11150	9122
165	11195	9037
166	11247	8957
167	11301	8879
168	11365	8809
169	11418	8732
170	11463	8648
171	11515	8569
172	11568	8492
173	11641	8430
174	11711	8365
175	11786	8303
176	11845	8231
177	11900	8156
178	11953	8080
179	11998	7998
180	12042	7917
181	12081	7832
182	12141	7762
183	12199	7691
184	12285	7636
185	12346	7567
186	12393	7489
187	12436	7409
188	12476	7327
189	12530	7254
190	12564	7170
191	12615	7096
192	12663	7020
193	12728	6954
194	12817	6901
195	12887	6838
196	12946	6768
197	12992	6693
198	13049	6622
199	13085	6542
200	13125	6464
201	13165	6387
202	13200	6307
203	13255	6237
204	13300	6163
205	13351	6092
206	13399	6020
207	13440	5945
208	13483	5870
209	13532	5799
210	13585	5730
211	13633	5659
212	13672	5584
213	13717	5512
214	13764	5441
215	13814	5372
216	13862	5302
217	13923	5237
218	13963	5164
219	14007	5093
220	14051	5023
221	14100	4954
222	14149	4885
223	14195	4816
224	14251	4750
225	14297	4681
226	14341	4612
227	14383	4542
228	14428	4473
229	14472	4404
230	14515	4335
231	14585	4274
232	14634	4208
233	14677	4139
234	14719	4071
235	14769	4005
236	14806	3935
237	14858	3870
238	14913	3806
239	14962	3740
240	15010	3674
241	15053	3607
242	15093	3540
243	15138	3474
244	15184	3408
245	15245	3346
246	15298	3282
247	15355	3219
248	15405	3155
249	15443	3088
250	15491	3024
251	15541	2960
252	15626	2902
253	15683	2840
254	15743	2778
255	15803	2716
256	15857	2653
257	15908	2589
258	15952	2525
259	15990	2460
260	16030	2395
261	16073	2331
262	16113	2266
263	16150	2202
264	16185	2137
265	16217	2072
266	16259	2009
267	16286	1944
268	16322	1881
269	16358	1817
270	16401	1755
271	16452	1693
272	16497	1631
273	16547	1570
274	16587	1507
275	16625	1445
276	16660	1383
277	16698	1321
278	16739	1259
279	16778	1198
280	16829	1137
281	16868	1076
282	16906	1015
283	16945	954
284	16984	893
285	17017	833
286	17057	772
287	17160	715
288	17243	656
289	17294	596
290	17339	536
291	17378	476
292	17430	416
293	17490	356
294	17541	297
295	17589	237
296	17636	178
297	17674	118
298	17711	59
299	17746	0
