,Total_sqr_footage,GarageFinish,OverallCond,AllPorchSF,Condition1,OverallQual_3,AllSF,Neighborhood,SimplOverallCond,TotalSF,OverallQual_sq,AllFlrsSF_3,BsmtExposure,GarageYrBlt,MSZoning,CentralAir,YearBuilt,OverallQual,BsmtFinSF1,AllSF_3,OverallGrade,LotArea_log,LotArea,SaleCondition,AllSF_2,Functional,TotalSF_log,YrBltAndRemod,SimplOverallQual_sq,GarageScore_3,SimplFireplaceQu,GarageCars_log,KitchenScore,AllFlrsSF_sq,1stFlrSF_log,HalfBath,Foundation,KitchenQual_sq,FireplaceQu,KitchenQual_3,GarageQual,GrLivArea,GarageScore,TotRmsAbvGrd_log,TotalBsmtSF,YearRemodAdd_log,FullBath,SimplOverallQual,ExterGrade,TotalBath_sq,HalfBath_log,2ndFlrSF_log,SimplExterGrade,GrLivArea_sq,OpenPorchSF_log,AllFlrsSF_2,SimplGarageScore,YearRemodAdd,SimplBsmtFinType1,SaleType,BldgType,TotRmsAbvGrd,SimplOverallGrade,SimplKitchenScore,PavedDrive,2ndFlrSF,GarageCars_sq,LotFrontage,LotFrontage_log,SimplExterQual,GarageCars,GarageArea,SimplGarageCond,Fireplaces,HeatingQC,GarageCond,SimplOverallQual_2,GrLivArea_2,BsmtUnfSF,ExterQual,OverallQual_2,OpenPorchSF,LotShape,GarageScore_2,GrLivArea_3,FireplaceScore,BsmtFullBath,BsmtFinType1,SimplGarageQual,GarageScore_sq,SimplFireplaceScore,KitchenQual_2,BsmtUnfSF_log,BedroomAbvGr,TotalBath_3,hasfireplace,MoSold,ExterQual_3,SimplHeatingQC,SimplBsmtQual,AllSF_sq,BsmtQual,YrSold,BsmtFinSF1_log,TotalBath_2,ScreenPorch_log,hasgarage,MasVnrArea,GarageArea_log,WoodDeckSF_log,GarageType,TotalBsmtSF_log,ExterQual_sq,TotalBath,KitchenQual,GarageCars_3,SimplFunctional,AllFlrsSF,1stFlrSF,ScreenPorch,GrLivArea_log,GarageGrade,Fireplaces_log,BsmtFullBath_log,ExterQual_2,SimplOverallQual_3,GarageCars_2,SimplKitchenQual,y
0,2416,RFn,5,61,Norm,343,2566,CollgCr,2,2566,2.6457513110645907,5000211000,0.0,2003.0,RL,Y,2003,7,706,16895457496,35,9.042040056544483,8450,Normal,6584356,8,7.8504931808711405,4006,1.7320508075688772,4443297984.0,,1.0986122886681098,4,41.352146256270665,6.75343791859778,1,PConc,2.0,,64,3.0,1710,1644.0,2.1972245773362196,856,7.602900462204755,2,3,12,1.8708286933869707,0.6931471805599453,6.75110146893676,2,41.352146256270665,4.127134385045092,2924100,548.0,2003,2.0,WD,1Fam,8,6,2,2,854,1.4142135623730951,65.0,4.189654742026425,2,2,548,1.0,0,5,3.0,9,2924100,150,4,49,61,4,2702736.0,5000211000,,1,6.0,1.0,40.54626986542659,,16,5.017279836814924,3,42.875,0,2,64,2,2.0,50.65570056765576,4.0,2008,6.561030665896573,12.25,0.0,1,196.0,6.3080984415095305,0.0,Attchd,6.75343791859778,2.0,3.5,4,8,4,1710,856,0,7.444833273892193,9.0,0.0,0.6931471805599453,16,27,4,2,12.24769911637256
1,2240,RFn,8,298,Feedr,216,2524,Veenker,3,2524,2.449489742783178,2009916728,3.0,1976.0,RL,Y,1976,6,978,16079333824,48,9.169622538697624,9600,Normal,6370576,8,7.83399634170946,3952,1.4142135623730951,2628072000.0,1.0,1.0986122886681098,3,35.52463933666322,7.141245122350491,0,CBlock,1.7320508075688772,3.0,27,3.0,1262,1380.0,1.9459101490553132,1262,7.589335823170617,2,2,9,1.5811388300841898,0.0,0.0,1,35.52463933666322,0.0,1592644,460.0,1976,2.0,WD,1Fam,6,6,1,2,0,1.4142135623730951,80.0,4.394449154672439,1,2,460,1.0,1,5,3.0,4,1592644,284,3,36,0,4,1904400.0,2009916728,3.0,0,5.0,1.0,37.14835124201342,1.0,9,5.652489180268651,3,15.625,1,5,27,2,2.0,50.23942674832188,4.0,2007,6.88653164253051,6.25,0.0,1,0.0,6.133398042996649,5.700443573390687,Attchd,7.141245122350491,1.7320508075688772,2.5,3,8,4,1262,1262,0,7.141245122350491,9.0,0.6931471805599453,0.0,9,8,4,1,12.109016442313738
2,2272,RFn,5,42,Norm,343,2706,CollgCr,2,2706,2.6457513110645907,5696975656,1.0,2001.0,RL,Y,2001,7,486,19814511816,35,9.328212292571072,11250,Normal,7322436,8,7.903596289614301,4003,1.7320508075688772,6068404224.0,1.0,1.0986122886681098,4,42.261093218230876,6.825460036255307,1,PConc,2.0,3.0,64,3.0,1786,1824.0,1.9459101490553132,920,7.602401335665818,2,3,12,1.8708286933869707,0.6931471805599453,6.7650389767805414,2,42.261093218230876,3.7612001156935624,3189796,608.0,2002,2.0,WD,1Fam,6,6,2,2,866,1.4142135623730951,68.0,4.23410650459726,2,2,608,1.0,1,5,3.0,9,3189796,434,4,49,42,3,3326976.0,5696975656,3.0,1,6.0,1.0,42.708313008125245,1.0,16,6.075346031088684,3,42.875,1,9,64,2,2.0,52.01922721455981,4.0,2008,6.18826412308259,12.25,0.0,1,162.0,6.411818267709897,0.0,Attchd,6.825460036255307,2.0,3.5,4,8,4,1786,920,0,7.488293515159428,9.0,0.6931471805599453,0.6931471805599453,16,27,4,2,12.317171167298682
3,1933,Unf,5,307,Norm,343,2473,Crawfor,2,2473,2.6457513110645907,5061868813,0.0,1998.0,RL,Y,1915,7,216,15124197817,35,9.164401140034737,9550,Abnorml,6115729,8,7.813591552952433,3885,1.7320508075688772,7144450776.0,2.0,1.3862943611198906,4,41.43669871020132,6.8690144506657065,0,BrkTil,2.0,4.0,64,3.0,1717,1926.0,2.0794415416798357,756,7.58629630715272,1,3,9,1.4142135623730951,0.0,6.6293632534374485,1,41.43669871020132,3.58351893845611,2948089,642.0,1970,2.0,WD,1Fam,7,6,2,2,756,1.7320508075688772,60.0,4.110873864173311,1,3,642,1.0,1,4,3.0,9,2948089,540,3,49,35,3,3709476.0,5061868813,4.0,1,5.0,1.0,43.88621651498338,2.0,16,6.293419278846481,3,8.0,1,2,27,2,1.0,49.72926703662542,3.0,2006,5.37989735354046,4.0,0.0,1,0.0,6.466144724237619,0.0,Detchd,6.6293632534374485,1.7320508075688772,2.0,4,27,4,1717,961,0,7.4489161025442,9.0,0.6931471805599453,0.6931471805599453,9,27,9,2,11.849404844423074
4,2853,RFn,5,276,Norm,512,3343,NoRidge,2,3343,2.8284271247461903,10618986392,2.0,2000.0,RL,Y,2000,8,655,37360194607,40,9.565283817736766,14260,Normal,11175649,8,8.114922974204593,4000,1.7320508075688772,15775480512.0,1.0,1.3862943611198906,4,46.88283267892417,7.044032897274685,1,PConc,2.0,3.0,64,3.0,2198,2508.0,2.302585092994046,1145,7.601402334583733,2,3,12,1.8708286933869707,0.6931471805599453,6.960347729101308,2,46.88283267892417,4.442651256490317,4831204,836.0,2000,2.0,WD,1Fam,9,6,2,2,1053,1.7320508075688772,84.0,4.442651256490317,2,3,836,1.0,1,5,3.0,9,4831204,490,4,64,84,3,6290064.0,10618986392,3.0,1,6.0,1.0,50.07993610219566,1.0,16,6.19644412779452,4,42.875,1,12,64,2,2.0,57.81868210189506,4.0,2008,6.486160788944089,12.25,0.0,1,350.0,6.729824070489475,5.262690188904886,Attchd,7.044032897274685,2.0,3.5,4,27,4,2198,1145,0,7.695757990554761,9.0,0.6931471805599453,0.6931471805599453,16,27,9,2,12.429220196836383
5,2094,Unf,5,390,Norm,125,2158,Mitchel,2,2158,2.23606797749979,2526569928,0.0,1993.0,RL,Y,1993,5,732,10049728312,25,9.55506418479516,14115,Normal,4656964,8,7.677400430514807,3988,1.4142135623730951,2985984000.0,,1.0986122886681098,3,36.90528417449187,6.680854678790215,1,Wood,1.7320508075688772,,27,3.0,1362,1440.0,1.791759469228055,796,7.59890045687141,1,2,9,1.5811388300841898,0.6931471805599453,6.340359303727752,1,36.90528417449187,3.4339872044851463,1855044,480.0,1995,2.0,WD,1Fam,5,4,1,2,566,1.4142135623730951,85.0,4.454347296253507,1,2,480,1.0,0,5,3.0,4,1855044,64,3,25,30,3,2073600.0,2526569928,,1,6.0,1.0,37.94733192202055,,9,4.174387269895637,1,15.625,0,10,27,2,2.0,46.45427859734774,4.0,2009,6.597145701886651,6.25,0.0,1,0.0,6.175867270105761,3.713572066704308,Attchd,6.680854678790215,1.7320508075688772,2.5,3,8,4,1362,796,0,7.217443431696533,9.0,0.0,0.6931471805599453,9,8,4,1,11.870606902224587
6,3063,RFn,5,312,Norm,512,3380,Somerst,2,3380,2.8284271247461903,4861163384,2.0,2004.0,RL,Y,2004,8,1369,38614472000,40,9.218804450388312,10084,Normal,11424400,8,8.125926802707886,4009,1.7320508075688772,6946005312.0,2.0,1.0986122886681098,4,41.15823125451335,7.43543801981455,0,PConc,2.0,4.0,64,3.0,1694,1908.0,2.0794415416798357,1686,7.603897968521881,2,3,12,1.7320508075688772,0.0,0.0,2,41.15823125451335,4.060443010546419,2869636,636.0,2005,2.0,WD,1Fam,7,6,2,2,0,1.4142135623730951,75.0,4.330733340286331,2,2,636,1.0,1,5,3.0,9,2869636,317,4,64,57,4,3640464.0,4861163384,4.0,1,6.0,1.0,43.68065933568311,2.0,16,5.762051382780177,3,27.0,1,8,64,2,2.0,58.137767414994535,5.0,2007,7.222566018822171,9.0,0.0,1,186.0,6.456769655572163,5.545177444479562,Attchd,7.430707082545968,2.0,3.0,4,8,4,1694,1694,0,7.43543801981455,9.0,0.6931471805599453,0.6931471805599453,16,27,4,2,12.634606283893019
7,2981,RFn,6,667,PosN,343,3197,NWAmes,2,3197,2.6457513110645907,9129329000,1.0,1973.0,RL,Y,1973,7,859,32675926373,42,9.247925132303454,10382,Normal,10220809,8,8.0702808933939,3946,1.7320508075688772,3061257408.0,1.0,1.0986122886681098,3,45.71651780264984,7.010311867307229,1,CBlock,1.7320508075688772,3.0,27,3.0,2090,1452.0,2.0794415416798357,1107,7.587817219993427,2,3,9,1.8708286933869707,0.6931471805599453,6.891625897052253,1,45.71651780264984,5.3230099791384085,4368100,484.0,1973,2.0,WD,1Fam,7,6,1,2,983,1.4142135623730951,,,1,2,484,1.0,2,5,3.0,9,4368100,216,3,49,204,3,2108304.0,9129329000,6.0,1,5.0,1.0,38.1051177665153,2.0,9,5.37989735354046,3,42.875,1,11,27,2,2.0,56.542019772908716,4.0,2009,6.756932389247553,12.25,0.0,1,240.0,6.184148890937483,5.4638318050256105,Attchd,7.010311867307229,1.7320508075688772,3.5,3,8,4,2090,1107,0,7.645397699428633,9.0,1.0986122886681098,0.6931471805599453,9,27,4,1,12.206077645517674
8,1774,Unf,5,295,Artery,343,2726,OldTown,2,2726,2.6457513110645907,5582912824,0.0,1931.0,RM,Y,1931,7,0,20257113176,35,8.71948076085107,6120,Abnorml,7431076,7,7.910957382845589,3881,1.7320508075688772,820025856.0,1.0,1.0986122886681098,6,42.118879377305376,6.930494765951626,0,BrkTil,1.7320508075688772,3.0,27,2.0,1774,936.0,2.1972245773362196,952,7.576097340623111,2,3,9,1.4142135623730951,0.0,6.6240652277998935,1,42.118879377305376,0.0,3147076,468.0,1950,1.0,WD,1Fam,8,6,2,2,752,1.4142135623730951,51.0,3.9512437185814275,1,2,468,1.0,2,4,3.0,9,3147076,952,3,49,0,4,876096.0,5582912824,6.0,0,1.0,1.0,30.59411708155671,2.0,9,6.859614903654202,2,8.0,1,4,27,2,1.0,52.21110992882645,3.0,2008,0.0,4.0,0.0,1,0.0,6.150602768446279,4.51085950651685,Detchd,6.859614903654202,1.7320508075688772,2.0,3,8,3,1774,1022,0,7.4815557019095165,6.0,1.0986122886681098,0.0,9,27,4,1,11.774527900858468
9,1928,RFn,6,4,Artery,125,2068,BrkSide,2,2068,2.23606797749979,1249243533,0.0,1939.0,RL,Y,1939,5,851,8844058432,30,8.912069097970134,7420,Normal,4276624,8,7.634820677745543,3889,1.4142135623730951,551368000.0,1.0,0.6931471805599453,6,32.817678162843876,6.982862751468942,0,BrkTil,1.7320508075688772,3.0,27,4.0,1077,820.0,1.791759469228055,991,7.576097340623111,1,2,9,1.4142135623730951,0.0,0.0,1,32.817678162843876,1.6094379124341003,1159929,410.0,1950,2.0,WD,2fmCon,5,4,2,2,0,1.0,50.0,3.9318256327243257,1,1,205,1.0,2,5,3.0,4,1159929,140,3,25,4,4,672400.0,1249243533,6.0,1,6.0,2.0,28.635642126552707,2.0,9,4.948759890378168,2,8.0,1,1,27,2,1.0,45.47526800360829,3.0,2008,6.747586526829315,4.0,0.0,1,0.0,5.327876168789581,0.0,Attchd,6.899723107284872,1.7320508075688772,2.0,3,1,4,1077,1077,0,6.982862751468942,12.0,1.0986122886681098,0.6931471805599453,9,8,1,1,11.678448377988165
